model,size,quant,domain,run,wall_clock_s,tasks_completed,throughput_tpm,mean_task_s,gpu_mem_peak_mib,gpu_mem_avg_mib,gpu_power_avg_w,total_energy_j
qwen3,8B,bf16,webshop,run1,4641.6,200,2.585,23.21,20592.0,20498.0,185.7,1041140.4
ministral3,3B,q4_k_m,alfworld,run1,1341.3,109,4.876,12.31,7947.7,7877.2,78.8,164724.0
ministral3,3B,q8_0,alfworld,run1,1566.6,109,4.175,14.37,9345.6,9276.2,86.4,193035.2
ministral3,3B,bf16,alfworld,run1,1529.5,109,4.276,14.03,12522.5,12390.5,111.0,227087.2
ministral3,8B,q4_k_m,alfworld,run1,1725.2,109,3.791,15.83,11616.8,11522.2,110.9,258168.3
ministral3,8B,q8_0,alfworld,run1,1806.2,109,3.621,16.57,14994.6,14871.9,131.8,308905.4
ministral3,8B,bf16,alfworld,run1,2340.4,109,2.794,21.47,22213.6,22020.1,149.1,447251.5
qwen3,4B,q4_k_m,alfworld,run1,7535.4,109,0.868,69.13,8501.1,8412.2,246.5,2164859.5
qwen3,4B,q8_0,alfworld,run1,9922.8,109,0.659,91.03,10214.8,10128.7,242.5,2812280.9
qwen3,4B,bf16,alfworld,run1,15306.8,109,0.427,140.43,13813.2,13715.2,254.7,4524038.9
qwen3,8B,q4_k_m,alfworld,run1,1194.8,109,5.474,10.96,23476.4,11226.0,114.5,185346.7
qwen3,8B,q8_0,alfworld,run1,1258.6,109,5.196,11.55,13808.8,13703.5,126.7,200940.1
qwen3,8B,bf16,alfworld,run1,1410.4,109,4.637,12.94,20599.2,20498.7,146.7,268403.7
ministral3,3B,q4_k_m,os,run2,3154.9,139,2.643,22.7,8011.9,7948.8,90.9,400178.4
ministral3,3B,q8_0,os,run2,4821.6,136,1.692,35.45,9429.6,9380.2,102.3,666554.3
ministral3,3B,bf16,os,run2,5279.4,133,1.512,39.69,12609.6,12542.1,135.4,925444.3
ministral3,8B,q4_k_m,os,run2,5800.4,135,1.396,42.97,11683.9,11619.7,123.4,921045.4
ministral3,8B,q8_0,os,run2,5471.6,135,1.48,40.53,15060.8,15003.6,146.6,1008436.6
ministral3,8B,bf16,os,run2,6101.3,134,1.318,45.53,22239.2,22186.2,164.5,1243455.1
qwen3,4B,q4_k_m,os,run2,9624.3,141,0.879,68.26,8650.2,8549.5,249.1,2789955.2
qwen3,4B,q8_0,os,run2,13046.7,142,0.653,91.88,10307.9,10225.8,242.1,3676909.2
qwen3,4B,bf16,os,run2,17655.4,142,0.483,124.33,13885.4,13820.8,254.8,5204722.0
qwen3,8B,q4_k_m,os,run2,3246.2,139,2.569,23.35,10731.9,10658.5,213.1,813966.4
qwen3,8B,q8_0,os,run2,3887.4,139,2.145,27.97,13898.4,13846.9,210.1,959810.3
qwen3,8B,bf16,os,run2,4290.8,137,1.916,31.32,20687.4,20611.6,207.5,1054281.7
ministral3,3B,q4_k_m,dbbench,run2,11170.5,291,1.563,38.39,8039.9,7947.5,99.5,1541184.6
ministral3,3B,q8_0,dbbench,run2,7423.5,297,2.4,24.99,9451.3,9379.1,100.8,1031847.7
ministral3,3B,bf16,dbbench,run2,10178.2,292,1.721,34.86,12610.9,12533.0,137.0,1778210.8
ministral3,8B,q4_k_m,dbbench,run2,5202.2,300,3.46,17.34,11668.6,11620.9,111.5,774659.8
ministral3,8B,q8_0,dbbench,run2,6186.3,300,2.91,20.62,15060.3,15000.1,139.5,1099061.4
ministral3,8B,bf16,dbbench,run2,7677.0,300,2.345,25.59,22237.9,22166.0,161.2,1518590.5
qwen3,4B,q4_k_m,dbbench,run2,12766.0,298,1.401,42.84,8619.2,8532.1,241.8,3601732.2
qwen3,4B,q8_0,dbbench,run2,17323.9,300,1.039,57.75,10289.3,10217.4,236.4,4785062.0
qwen3,4B,bf16,dbbench,run2,22427.4,300,0.803,74.76,13890.9,13815.2,247.9,6449731.4
qwen3,8B,q4_k_m,dbbench,run2,3286.6,300,5.477,10.96,10697.2,10627.4,109.7,472176.9
qwen3,8B,q8_0,dbbench,run2,3475.8,300,5.179,11.59,13919.2,13849.3,125.0,548364.0
qwen3,8B,bf16,dbbench,run2,4069.1,300,4.424,13.56,20688.2,20610.2,149.4,753391.5
ministral3,3B,q4_k_m,webshop,run2,2719.2,200,4.413,13.6,8040.9,7957.1,88.8,337548.0
ministral3,3B,q8_0,webshop,run2,4357.5,199,2.74,21.9,9437.5,9378.1,103.1,607503.1
ministral3,3B,bf16,webshop,run2,6564.6,195,1.782,33.66,12568.4,12511.1,137.3,1153545.6
ministral3,8B,q4_k_m,webshop,run2,3170.7,200,3.785,15.85,11713.3,11609.9,121.2,489359.7
ministral3,8B,q8_0,webshop,run2,3440.2,200,3.488,17.2,15103.4,15020.5,140.8,604603.2
ministral3,8B,bf16,webshop,run2,4459.0,200,2.691,22.29,22241.9,22150.9,163.6,902545.8
qwen3,4B,q4_k_m,webshop,run2,11485.9,198,1.034,58.01,8594.2,8520.4,250.9,3343963.4
qwen3,4B,q8_0,webshop,run2,13614.9,198,0.873,68.76,10293.1,10219.1,244.4,3876570.1
qwen3,4B,bf16,webshop,run2,19287.4,199,0.619,96.92,13896.1,13814.4,253.7,5668507.7
qwen3,8B,q4_k_m,webshop,run2,3001.6,200,3.998,15.01,10701.5,10634.0,169.0,604639.7
qwen3,8B,q8_0,webshop,run2,3656.7,200,3.282,18.28,13927.2,13844.1,164.3,728216.5
qwen3,8B,bf16,webshop,run2,4661.6,200,2.574,23.31,20698.6,20619.5,186.8,1040314.8
ministral3,3B,q4_k_m,alfworld,run2,1335.9,109,4.895,12.26,8025.5,7976.0,79.2,162859.1
ministral3,3B,q8_0,alfworld,run2,1562.3,109,4.186,14.33,9432.2,9375.1,88.4,195321.8
ministral3,3B,bf16,alfworld,run2,1577.0,109,4.147,14.47,21061.2,13601.5,109.5,230019.2
ministral3,8B,q4_k_m,alfworld,run2,1700.2,109,3.847,15.6,11667.5,11599.1,110.0,251815.2
ministral3,8B,q8_0,alfworld,run2,1800.0,109,3.633,16.51,15081.4,14973.8,132.0,308667.5
ministral3,8B,bf16,alfworld,run2,2331.4,109,2.805,21.39,22259.1,22127.9,149.2,443746.4
qwen3,4B,q4_k_m,alfworld,run2,7581.8,109,0.863,69.56,8605.6,8529.0,245.7,2177024.0
qwen3,4B,q8_0,alfworld,run2,9867.1,109,0.663,90.52,10296.7,10218.7,243.4,2811352.3
qwen3,4B,bf16,alfworld,run2,15423.6,109,0.424,141.5,13899.2,13823.3,254.2,4543535.5
qwen3,8B,q4_k_m,alfworld,run2,1153.2,109,5.671,10.58,23615.4,12624.0,117.7,169634.6
qwen3,8B,q8_0,alfworld,run2,1302.8,109,5.02,11.95,13922.4,13856.0,124.6,204796.6
qwen3,8B,bf16,alfworld,run2,1411.6,109,4.633,12.95,20678.8,20605.5,146.6,259998.4
ministral3,3B,q4_k_m,os,run3,2766.1,140,3.037,19.76,8069.8,7993.8,87.4,336317.9
ministral3,3B,q8_0,os,run3,4842.0,136,1.685,35.6,9447.9,9383.4,100.7,660921.5
ministral3,3B,bf16,os,run3,5685.2,132,1.393,43.07,12620.1,12560.5,135.2,985957.0
ministral3,8B,q4_k_m,os,run3,5370.7,136,1.519,39.49,11715.8,11658.5,123.4,865705.5
ministral3,8B,bf16,os,run3,6636.7,133,1.202,49.9,22239.5,22175.6,164.5,1344688.2
qwen3,4B,q4_k_m,os,run3,9972.3,140,0.842,71.23,8595.9,8524.6,249.9,2897745.7
qwen3,4B,q8_0,os,run3,13146.2,142,0.648,92.58,10290.2,10220.9,241.2,3685075.0
qwen3,4B,bf16,os,run3,17889.3,142,0.476,125.98,13889.9,13822.3,254.5,5262077.8
qwen3,8B,q8_0,os,run3,3866.8,139,2.157,27.82,13922.4,13842.4,204.8,927101.4
qwen3,8B,q4_k_m,os,run3,3303.5,139,2.525,23.77,10711.6,10634.2,209.1,812607.6
qwen3,8B,bf16,os,run3,4330.5,137,1.898,31.61,20680.6,20621.4,205.1,1051652.8
ministral3,3B,q4_k_m,dbbench,run3,11128.5,291,1.569,38.24,7989.9,7948.9,98.3,1533621.0
ministral3,3B,q8_0,dbbench,run3,7765.9,295,2.279,26.33,16486.9,9509.8,101.3,1129932.7
ministral3,3B,bf16,dbbench,run3,9617.3,294,1.834,32.71,12622.6,12516.4,134.5,1662239.2
ministral3,8B,q4_k_m,dbbench,run3,5228.4,300,3.443,17.43,11681.2,11614.2,109.5,768867.2
ministral3,8B,q8_0,dbbench,run3,6350.9,300,2.834,21.17,15064.6,15008.4,138.7,1111435.3
ministral3,8B,bf16,dbbench,run3,7399.5,300,2.433,24.66,22256.8,22181.7,161.0,1478295.3
deepseek-r1-qwen,1.5B,q4_k_m,os,run1,11232.2,125,0.668,89.86,19912.6,3882.8,81.4,1361941.1
deepseek-r1-qwen,1.5B,q8_0,os,run1,22676.5,103,0.273,220.16,7006.8,4220.2,86.4,2863691.8
deepseek-r1-qwen,1.5B,bf16,os,run1,20553.3,96,0.28,214.1,5733.1,5681.3,101.0,2899786.1
deepseek-r1-qwen,7B,q4_k_m,os,run1,7230.1,134,1.112,53.96,7819.7,7745.3,115.3,1118395.9
ministral3,8B,q8_0,os,run3,5313.6,136,1.536,39.07,15071.0,14994.5,146.3,978531.0
qwen3,4B,q4_k_m,dbbench,run3,11845.4,300,1.52,39.48,8624.6,8513.8,237.8,3287331.3
qwen3,4B,q8_0,dbbench,run3,17374.8,299,1.033,58.11,10323.4,10214.4,236.2,4787092.1
qwen3,4B,bf16,dbbench,run3,23425.0,299,0.766,78.34,13793.6,13735.5,248.1,6748582.8
qwen3,8B,q4_k_m,dbbench,run3,3285.6,298,5.442,11.03,10591.4,10553.5,105.5,443839.1
qwen3,8B,q8_0,dbbench,run3,3596.6,300,5.005,11.99,13775.1,13761.7,122.5,557193.4
qwen3,8B,bf16,dbbench,run3,4015.9,300,4.482,13.39,20558.0,20537.0,147.9,725301.6
ministral3,3B,q4_k_m,webshop,run3,3192.1,199,3.74,16.04,7877.1,7867.7,90.6,409080.8
ministral3,3B,q8_0,webshop,run3,4535.0,199,2.633,22.79,9308.2,9292.7,104.6,652555.8
ministral3,3B,bf16,webshop,run3,5503.8,198,2.158,27.8,20931.1,12804.2,136.2,959922.6
ministral3,8B,q4_k_m,webshop,run3,2904.0,200,4.132,14.52,12488.6,11518.0,116.6,443796.9
ministral3,8B,q8_0,webshop,run3,3423.2,200,3.505,17.12,14947.8,14923.7,141.0,616129.2
ministral3,8B,bf16,webshop,run3,4271.6,200,2.809,21.36,22119.2,22073.7,162.2,853929.0
qwen3,4B,q4_k_m,webshop,run3,12197.0,196,0.964,62.23,8490.0,8433.5,254.0,3580057.0
qwen3,4B,q8_0,webshop,run3,15531.2,195,0.753,79.65,10169.1,10131.6,248.9,4492588.6
qwen3,4B,bf16,webshop,run3,21136.3,198,0.562,106.75,13738.7,13712.6,256.3,6251764.4
ministral3,3B,q4_k_m,alfworld,run3,1263.9,109,5.175,11.6,7872.7,7832.0,80.2,155610.0
ministral3,3B,q8_0,alfworld,run3,1573.7,109,4.156,14.44,9295.6,9267.0,87.3,193353.3
ministral3,3B,bf16,alfworld,run3,1520.8,109,4.3,13.95,12436.4,12375.9,110.8,223757.5
qwen3,8B,q4_k_m,webshop,run3,2965.8,200,4.046,14.83,10607.8,10529.4,165.0,599740.3
qwen3,8B,q8_0,webshop,run3,3523.3,200,3.406,17.62,13836.2,13736.7,165.5,705068.7
qwen3,8B,bf16,webshop,run3,4619.1,200,2.598,23.1,20548.8,20504.9,183.1,1026346.1
ministral3,8B,q4_k_m,alfworld,run3,1706.1,109,3.833,15.65,11521.8,11487.6,110.0,253233.6
ministral3,8B,q8_0,alfworld,run3,1848.7,109,3.538,16.96,14951.1,14865.6,129.6,299208.7
ministral3,8B,bf16,alfworld,run3,2317.3,109,2.822,21.26,22094.7,22004.0,149.9,443427.3
qwen3,4B,q4_k_m,alfworld,run3,7580.7,109,0.863,69.55,8454.8,8416.6,246.2,2174460.3
qwen3,4B,q8_0,alfworld,run3,9898.1,109,0.661,90.81,10146.8,10115.1,243.5,2816746.7
qwen3,4B,bf16,alfworld,run3,15320.0,109,0.427,140.55,13747.2,13712.6,255.1,4528528.1
qwen3,8B,q4_k_m,alfworld,run3,1140.7,109,5.733,10.46,10578.2,10525.4,117.1,169228.0
qwen3,8B,q8_0,alfworld,run3,1266.1,109,5.165,11.62,13763.9,13724.7,126.2,200688.1
qwen3,8B,bf16,alfworld,run3,1406.8,109,4.649,12.91,20564.4,20474.5,147.3,256308.4
deepseek-r1-qwen,7B,q8_0,os,run1,6852.7,134,1.173,51.14,10653.5,10638.8,135.9,1268570.3
deepseek-r1-qwen,7B,bf16,os,run1,8736.1,128,0.879,68.25,17067.0,17041.1,159.0,1710588.7
deepseek-r1-qwen,1.5B,q4_k_m,dbbench,run1,12091.4,282,1.399,42.88,3506.6,3492.0,78.7,1418793.1
deepseek-r1-qwen,1.5B,q8_0,dbbench,run1,10823.2,284,1.574,38.11,4162.4,4122.0,81.5,1277449.7
deepseek-r1-qwen,1.5B,bf16,dbbench,run1,16548.6,264,0.957,62.68,5626.8,5593.5,97.8,2280765.2
deepseek-r1-qwen,7B,q4_k_m,dbbench,run1,5641.5,296,3.148,19.06,7677.8,7652.3,103.1,792015.9
deepseek-r1-qwen,7B,q8_0,dbbench,run1,5452.5,296,3.257,18.42,17559.5,10820.5,122.9,872416.0
deepseek-r1-qwen,7B,bf16,dbbench,run1,6266.6,295,2.824,21.24,17069.7,17053.6,145.7,1140505.0
deepseek-r1-qwen,1.5B,q4_k_m,alfworld,run1,6440.4,100,0.932,64.4,3524.4,3491.2,81.0,775883.4
deepseek-r1-qwen,1.5B,q8_0,alfworld,run1,6262.7,97,0.929,64.56,4132.1,4121.2,86.9,828549.5
deepseek-r1-qwen,1.5B,bf16,alfworld,run1,3160.7,105,1.993,30.1,5599.6,5588.1,91.5,471899.6
deepseek-r1-qwen,7B,q4_k_m,alfworld,run1,4601.2,104,1.356,44.24,7657.7,7646.4,120.3,726674.6
deepseek-r1-qwen,7B,q8_0,alfworld,run1,2528.7,106,2.515,23.86,10656.4,10636.7,128.9,421902.0
deepseek-r1-qwen,7B,bf16,alfworld,run1,2844.4,105,2.215,27.09,17071.7,17042.2,146.0,526502.8
deepseek-r1-qwen,1.5B,q4_k_m,webshop,run1,7977.9,195,1.467,40.91,3549.4,3499.2,77.8,937935.8
deepseek-r1-qwen,7B,q8_0,webshop,run1,17849.6,186,0.625,95.97,14063.4,10706.5,159.1,3541645.7
deepseek-r1-qwen,1.5B,q8_0,webshop,run1,7002.3,199,1.705,35.19,4177.2,4132.9,79.3,819368.8
deepseek-r1-qwen,1.5B,bf16,webshop,run1,7393.7,198,1.607,37.34,5609.8,5585.1,92.2,967726.0
deepseek-r1-qwen,7B,q4_k_m,webshop,run1,15315.1,183,0.717,83.69,7658.8,7651.8,128.5,2576624.1
deepseek-r1-qwen,7B,bf16,webshop,run1,18722.5,181,0.58,103.44,17081.0,17044.6,179.1,4082694.3
deepseek-r1-qwen,1.5B,q4_k_m,os,run2,11236.3,125,0.667,89.89,11149.5,3640.9,81.7,1360479.7
deepseek-r1-qwen,1.5B,q8_0,os,run2,22586.0,103,0.274,219.28,4155.6,4116.7,86.3,2872965.6
deepseek-r1-qwen,1.5B,bf16,os,run2,20539.2,96,0.28,213.95,5674.8,5593.7,100.4,2906046.7
deepseek-r1-qwen,7B,q4_k_m,os,run2,7582.0,133,1.052,57.01,7675.9,7640.5,115.2,1171696.4
deepseek-r1-qwen,7B,q8_0,os,run2,7375.6,133,1.082,55.46,10681.6,10632.2,137.2,1291342.5
deepseek-r1-qwen,7B,bf16,os,run2,9196.1,127,0.829,72.41,17090.6,17039.2,160.4,1832152.0
deepseek-r1-qwen,1.5B,q4_k_m,dbbench,run2,12444.5,281,1.355,44.29,3504.8,3485.0,79.9,1477950.9
deepseek-r1-qwen,1.5B,q8_0,dbbench,run2,10669.3,284,1.597,37.57,4140.9,4109.4,81.6,1278519.7
deepseek-r1-qwen,1.5B,bf16,dbbench,run2,16630.5,264,0.952,62.99,5627.4,5579.4,97.6,2271198.3
deepseek-r1-qwen,7B,q4_k_m,dbbench,run2,5818.8,295,3.042,19.72,7662.8,7644.3,103.6,815832.1
deepseek-r1-qwen,7B,q8_0,dbbench,run2,5492.9,296,3.233,18.56,17513.2,10930.7,121.4,862678.3
deepseek-r1-qwen,7B,bf16,dbbench,run2,6597.8,294,2.674,22.44,17050.0,17040.7,147.1,1201187.5
deepseek-r1-qwen,1.5B,q4_k_m,alfworld,run2,6483.1,100,0.925,64.83,3533.7,3474.0,80.8,783219.6
deepseek-r1-qwen,1.5B,q8_0,alfworld,run2,6219.9,97,0.936,64.12,4119.5,4104.9,86.0,831412.4
deepseek-r1-qwen,1.5B,bf16,alfworld,run2,3127.9,105,2.014,29.79,5582.8,5569.0,92.3,469504.3
deepseek-r1-qwen,7B,q4_k_m,alfworld,run2,4598.9,104,1.357,44.22,7651.5,7635.1,120.1,739988.0
deepseek-r1-qwen,7B,q8_0,alfworld,run2,2567.7,106,2.477,24.22,10647.4,10626.1,127.0,422589.5
deepseek-r1-qwen,7B,bf16,alfworld,run2,2834.0,105,2.223,26.99,17046.0,17002.6,145.9,524646.5
deepseek-r1-qwen,1.5B,q4_k_m,webshop,run2,7576.7,196,1.552,38.66,3489.6,3475.8,76.4,873966.8
deepseek-r1-qwen,1.5B,q8_0,webshop,run2,6677.5,199,1.788,33.56,4114.2,4105.9,78.8,785551.7
deepseek-r1-qwen,1.5B,bf16,webshop,run2,7799.2,197,1.516,39.59,5602.8,5573.4,92.7,1024595.4
deepseek-r1-qwen,7B,q4_k_m,webshop,run2,14111.5,186,0.791,75.87,7652.6,7634.2,127.2,2350071.6
deepseek-r1-qwen,7B,q8_0,webshop,run2,18936.6,182,0.577,104.05,10648.2,10629.0,158.1,3741996.4
deepseek-r1-qwen,7B,bf16,webshop,run2,18099.6,183,0.607,98.9,17046.8,17032.5,178.2,3935437.9
deepseek-r1-qwen,1.5B,q4_k_m,os,run3,11201.1,125,0.67,89.61,3485.3,3480.4,81.4,1354792.5
deepseek-r1-qwen,1.5B,q8_0,os,run3,22622.9,103,0.273,219.64,4033.2,4030.7,88.9,2935116.1
deepseek-r1-qwen,1.5B,bf16,os,run3,20603.2,96,0.28,214.62,5513.8,5499.1,103.1,2945207.9
deepseek-r1-qwen,7B,q4_k_m,os,run3,7692.7,133,1.037,57.84,7576.9,7561.1,118.7,1203039.5
deepseek-r1-qwen,7B,q8_0,os,run3,6858.2,135,1.181,50.8,10620.7,10555.3,135.7,1181904.6
deepseek-r1-qwen,7B,bf16,os,run3,8961.7,128,0.857,70.01,16975.4,16954.1,160.5,1780872.6
deepseek-r1-qwen,1.5B,q4_k_m,dbbench,run3,12503.9,281,1.348,44.5,3480.6,3461.5,81.2,1505082.2
deepseek-r1-qwen,1.5B,q8_0,dbbench,run3,10752.6,284,1.585,37.86,4114.9,4102.4,83.5,1304778.1
deepseek-r1-qwen,1.5B,bf16,dbbench,run3,16652.2,264,0.951,63.08,5582.5,5574.8,99.4,2300334.6
deepseek-r1-qwen,7B,q4_k_m,dbbench,run3,5367.9,297,3.32,18.07,7642.1,7629.7,103.7,737028.0
deepseek-r1-qwen,7B,q8_0,dbbench,run3,5400.7,296,3.288,18.25,10630.2,10618.4,122.9,852234.5
deepseek-r1-qwen,7B,bf16,dbbench,run3,6626.7,294,2.662,22.54,17050.1,17036.3,148.0,1228491.2
deepseek-r1-qwen,1.5B,q4_k_m,webshop,run3,7036.8,198,1.688,35.54,3484.2,3462.2,79.1,835467.2
deepseek-r1-qwen,1.5B,q8_0,webshop,run3,7060.0,199,1.691,35.48,4107.8,4093.8,81.8,856129.7
deepseek-r1-qwen,1.5B,bf16,webshop,run3,7407.0,198,1.604,37.41,5577.4,5558.4,95.4,988483.5
deepseek-r1-qwen,7B,q4_k_m,webshop,run3,14190.3,187,0.791,75.88,7673.2,7625.5,130.6,2419350.4
deepseek-r1-qwen,7B,q8_0,webshop,run3,17362.6,190,0.657,91.38,10657.7,10614.2,158.6,3436982.9
deepseek-r1-qwen,7B,bf16,webshop,run3,23861.1,164,0.412,145.49,17043.1,17025.3,181.7,5276608.5
deepseek-r1-qwen,1.5B,q4_k_m,alfworld,run3,6528.7,100,0.919,65.29,3475.8,3461.4,83.2,802821.1
deepseek-r1-qwen,1.5B,q8_0,alfworld,run3,6203.8,97,0.938,63.96,4107.0,4091.5,88.1,845280.7
deepseek-r1-qwen,1.5B,bf16,alfworld,run3,3160.5,105,1.993,30.1,5997.7,5984.5,91.7,457153.0
deepseek-r1-qwen,7B,q4_k_m,alfworld,run3,4659.0,104,1.339,44.8,8056.1,8039.8,118.9,743268.6
deepseek-r1-qwen,7B,q8_0,alfworld,run3,2538.8,106,2.505,23.95,11078.2,11032.9,128.3,416768.6
deepseek-r1-qwen,7B,bf16,alfworld,run3,2849.2,105,2.211,27.14,17475.6,17401.3,146.1,522763.2
