model,size,quant,domain,agent_failed_mean,avg_tool_calls_mean,avg_tool_calls_std,avg_turns_mean,avg_turns_std,completed_failure_rate_mean,completed_failure_rate_std,completed_failures_mean,completion_rate_mean,completion_rate_std,cpu_energy_mean,cpu_energy_std,cpu_mean,cpu_std,energy_mean,energy_per_action_mean,energy_per_action_std,energy_per_success_mean,energy_per_success_std,energy_per_task_mean,energy_per_task_std,energy_std,error_rate_mean,error_rate_std,errors_mean,failure_rate_mean,failure_rate_std,failures_mean,gpu_energy_mean,gpu_energy_std,gpu_mem_mean,gpu_mem_std,gpu_power_mean,gpu_power_std,gpu_util_mean,gpu_util_std,ia_failures_mean,ia_rate_mean,ia_rate_std,if_failures_mean,if_rate_mean,if_rate_std,interact_failed_mean,mean_reward_mean,mean_reward_std,ram_mean,ram_std,runs_completed_mean,start_failed_mean,success_rate_mean,success_rate_std,successes_mean,task_error_rate_mean,task_error_rate_std,task_errors_mean,tle_failures_mean,tle_rate_mean,tle_rate_std,total_tasks
deepseek-r1-qwen,1.5B,q8_0,os,21.0,0.009709,0.0,6.048544,0.0,0.006944,0.0,1.0,0.715278,0.0,917989.1203,8198.595713,6.772795,0.147999,2890591.168633,2890591.168633,31710.686185,,,20073.549782,220.213099,31710.686185,0.284722,0.0,41.0,0.715278,0.0,103.0,1972602.048333,27051.035966,4122.499216,77.462321,87.207723,1.213804,17.171781,0.063248,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,149.584234,1.46974,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.708333,0.0,144
deepseek-r1-qwen,1.5B,q8_0,webshop,0.0,0.0,0.0,4.227806,0.037902,0.0,0.0,0.0,0.995,0.0,267434.496575,8130.062313,6.117739,0.113322,820350.078742,0.0,0.0,,,4101.750394,144.108516,28821.703221,0.005,0.0,1.0,0.995,0.0,199.0,552915.582167,21128.652173,4110.868659,16.323606,79.969648,1.343619,13.579208,0.262123,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,146.553464,1.589482,199.0,0.0,0.0,0.0,0.0,0.995,0.0,199.0,0.0,0.0,0.0,200
deepseek-r1-qwen,7B,bf16,alfworld,1.0,1.390476,0.0,6.752381,0.0,0.0,0.0,0.0,0.963303,0.0,108816.145873,1728.832201,6.169907,0.220741,524637.494206,3593.407495,10.456977,,,4813.18802,14.006593,1526.718635,0.036697,0.0,4.0,0.963303,0.0,105.0,415821.348333,615.211934,17148.705863,179.32741,146.013192,0.092497,37.84334,0.075376,4.0,0.036697,0.0,94.0,0.862385,0.0,3.0,0.0,0.0,146.692923,2.783095,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.06422,0.0,109
deepseek-r1-qwen,7B,bf16,dbbench,1.666667,2.175533,0.008828,5.233295,0.004188,0.701111,0.004157,210.333333,0.981111,0.001571,235320.211859,8983.202845,4.895397,0.051385,1190061.239859,1858.640682,60.897558,32163.817293,993.830048,3966.8708,122.572373,36771.711788,0.018889,0.001571,5.666667,0.857778,0.001571,257.333333,954741.028,29453.479689,17043.538946,7.306811,146.932615,0.955511,37.298802,0.17433,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,147.216139,1.629095,294.333333,0.0,0.123333,0.0,37.0,0.0,0.0,0.0,47.0,0.156667,0.005443,300
deepseek-r1-qwen,7B,bf16,os,9.666667,2.119997,0.038757,7.117249,0.073486,0.032407,0.003274,4.666667,0.886574,0.003274,341157.289076,14645.276174,5.837009,0.103417,1774537.76741,6562.996971,322.036388,1774537.76741,49829.755934,12323.17894,346.039972,49829.755934,0.113426,0.003274,16.333333,0.87963,0.003274,126.666667,1433380.478333,35198.724705,17011.497147,40.574237,159.942711,0.694255,44.234721,0.367535,0.0,0.0,0.0,15.333333,0.106481,0.003274,6.666667,1.0,0.0,146.776688,1.362373,127.666667,0.0,0.006944,0.0,1.0,0.18287,0.003274,26.333333,80.333333,0.55787,0.008661,144
deepseek-r1-qwen,7B,bf16,webshop,22.333333,3.756846,0.028206,11.660415,0.029165,0.003333,0.002357,0.666667,0.88,0.042622,795470.751075,106023.093773,6.55117,0.109614,4431580.250742,6756.380957,1228.474739,1594692.049212,447053.858626,22157.901254,3002.708896,600541.779266,0.12,0.042622,24.0,0.865,0.042426,173.0,3636109.499667,494536.330198,17034.141693,7.973848,179.667901,1.451994,51.178045,0.446254,0.0,0.0,0.0,22.0,0.11,0.0,1.666667,0.657407,0.057078,147.888301,2.772048,176.0,0.0,0.015,0.004082,3.0,0.0,0.0,0.0,150.333333,0.751667,0.043653,200
deepseek-r1-qwen,7B,q4_k_m,alfworld,2.0,2.721154,0.0,9.173077,0.0,0.0,0.0,0.0,0.954128,0.0,183484.756808,7495.052034,6.514609,0.20928,736643.740974,2602.981417,25.354586,,,6758.199458,65.828878,7175.347698,0.045872,0.0,5.0,0.954128,0.0,104.0,553158.984167,720.138873,7773.758358,188.17911,119.769622,0.637982,26.144419,0.069129,13.0,0.119266,0.0,61.0,0.559633,0.0,3.0,0.0,0.0,147.499138,2.738501,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.275229,0.0,109
deepseek-r1-qwen,7B,q4_k_m,dbbench,1.666667,2.133957,0.02194,5.201498,0.031421,0.692222,0.010999,207.666667,0.986667,0.002722,201200.039809,14401.693705,4.510946,0.136541,781625.350476,1238.249325,67.301915,25770.30169,1083.754978,2605.417835,109.999766,32999.929944,0.013333,0.002722,4.0,0.885556,0.003143,265.666667,580425.310667,19381.729698,7642.087697,9.355286,103.473323,0.263124,18.653936,0.428563,0.0,0.0,0.0,1.0,0.003333,0.0,2.333333,1.0,0.0,147.021417,1.509811,296.0,0.0,0.101111,0.001571,30.333333,0.0,0.0,0.0,57.0,0.19,0.009813,300
deepseek-r1-qwen,7B,q4_k_m,os,8.333333,2.294935,0.055317,8.145045,0.083869,0.013889,0.0,2.0,0.925926,0.003274,291555.472688,5420.565888,5.811996,0.17224,1164377.285855,3809.888553,200.495829,,,8085.953374,242.64589,34941.008219,0.074074,0.003274,10.666667,0.925926,0.003274,133.333333,872821.813167,32252.108434,7648.980391,75.450023,116.392203,1.597679,25.392297,0.241296,0.0,0.0,0.0,8.0,0.055556,0.0,2.333333,0.0,0.0,146.745299,1.377258,133.333333,0.0,0.0,0.0,0.0,0.141204,0.003274,20.333333,103.0,0.715278,0.00567,144
deepseek-r1-qwen,7B,q4_k_m,webshop,13.333333,3.84682,0.082399,11.307212,0.194089,0.0,0.0,0.0,0.926667,0.008498,576987.706408,22511.916088,6.5255,0.103292,2448682.031908,3440.092162,222.084732,1224341.015954,47393.339395,12243.41016,473.933394,94786.678791,0.073333,0.008498,14.666667,0.916667,0.008498,183.333333,1871694.3255,72563.141868,7637.192648,10.92805,128.77629,1.426879,28.915763,0.157912,0.0,0.0,0.0,28.0,0.14,0.021602,1.333333,0.7,0.188562,148.871046,1.128116,185.333333,0.0,0.01,0.0,2.0,0.0,0.0,0.0,155.333333,0.776667,0.027183,200
deepseek-r1-qwen,7B,q8_0,alfworld,0.0,1.198113,0.0,6.320755,0.0,0.0,0.0,0.0,0.972477,0.0,94141.305245,2344.291461,6.115459,0.21645,420420.019078,3310.393851,20.450095,,,3857.064395,23.827174,2597.162008,0.027523,0.0,3.0,0.972477,0.0,106.0,326278.713833,262.091702,10765.25028,189.333972,128.108388,0.790775,27.682333,0.404642,2.0,0.018349,0.0,94.0,0.862385,0.0,3.0,0.0,0.0,146.655649,2.83431,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.091743,0.0,109
deepseek-r1-qwen,7B,q8_0,dbbench,1.333333,2.177928,0.011148,5.227477,0.015926,0.727778,0.004157,218.333333,0.986667,0.0,195240.750188,5448.285021,4.558239,0.135872,862442.929688,1337.912064,19.578974,23956.748047,228.909866,2874.809766,27.469184,8240.755183,0.013333,0.0,4.0,0.866667,0.0,260.0,667202.1795,2792.922141,10789.846812,129.332189,122.389079,0.707283,24.620568,0.280071,0.0,0.0,0.0,0.666667,0.002222,0.001571,2.666667,1.0,0.0,146.732033,1.540283,296.0,0.0,0.12,0.0,36.0,0.0,0.0,0.0,41.0,0.136667,0.005443,300
deepseek-r1-qwen,7B,q8_0,os,8.0,2.415309,0.020684,7.619408,0.015854,0.011574,0.003274,1.666667,0.930556,0.00567,265208.477838,11390.927812,5.5517,0.097722,1247272.425505,3856.427879,199.360084,,,8661.614066,327.414741,47147.72266,0.069444,0.00567,10.0,0.925926,0.006547,133.333333,982063.947667,36263.818868,10608.790097,37.914019,136.301988,0.670837,31.562137,0.289623,0.0,0.0,0.0,13.666667,0.094907,0.003274,2.0,0.666667,0.471405,146.636717,1.515375,134.0,0.0,0.00463,0.003274,0.666667,0.1875,0.00567,27.0,91.0,0.631944,0.00567,144
deepseek-r1-qwen,7B,q8_0,webshop,13.333333,3.426313,0.026756,10.971282,0.148282,0.0,0.0,0.0,0.93,0.01633,712699.497916,27498.797857,6.581911,0.094742,3573541.651749,5613.622787,312.498562,1191180.550583,42182.432633,17867.708259,632.736489,126547.297898,0.07,0.01633,14.0,0.915,0.01633,183.0,2860842.153833,99117.488997,10649.886172,40.514162,158.584766,0.4082,38.635994,0.19362,0.0,0.0,0.0,14.333333,0.071667,0.002357,0.666667,0.703704,0.026189,149.586539,1.3515,186.0,0.0,0.015,0.0,3.0,0.0,0.0,0.0,168.666667,0.843333,0.014337,200
ministral3,3B,bf16,alfworld,0.0,7.091743,0.0,15.12844,0.0,0.0,0.0,0.0,1.0,0.0,56390.217033,692.714616,4.949404,0.126394,226954.611866,293.602344,3.309241,56738.652967,639.51077,2082.152402,23.468285,2558.043078,0.0,0.0,0.0,0.963303,0.0,105.0,170564.394833,1888.598658,12789.334869,574.343438,110.396044,0.672343,21.924989,0.75949,92.0,0.844037,0.0,7.0,0.06422,0.0,0.0,1.0,0.0,148.326458,1.876183,109.0,0.0,0.036697,0.0,4.0,0.0,0.0,0.0,6.0,0.055046,0.0,109
ministral3,3B,bf16,dbbench,7.0,3.940822,0.025965,7.474387,0.031899,0.26,0.0,78.0,0.976667,0.002722,375942.865727,6396.773057,5.810732,0.087106,1721499.962394,1491.178105,48.75848,51654.470084,1583.31671,5738.333208,157.931726,47379.517662,0.023333,0.002722,7.0,0.865556,0.003143,259.666667,1345557.096667,41183.173998,12481.859737,60.992022,135.944227,1.043619,32.987298,0.185116,0.0,0.0,0.0,179.666667,0.598889,0.003143,0.0,1.0,0.0,305.64857,218.152472,293.0,0.0,0.111111,0.001571,33.333333,0.0,0.0,0.0,2.0,0.006667,0.0,300
ministral3,3B,bf16,os,6.666667,1.683668,0.056004,4.360463,0.170071,0.006944,0.0,1.0,0.94213,0.031229,159426.34089,76511.241265,5.235486,0.795837,711863.810723,3223.379267,1653.18476,,,4943.498686,2400.841201,345721.132909,0.05787,0.031229,8.333333,0.94213,0.031229,135.666667,552437.469833,269275.267284,11742.738457,1143.513019,120.435337,21.03333,27.324301,7.508705,0.0,0.0,0.0,120.666667,0.837963,0.016368,1.666667,0.0,0.0,296.027933,207.607959,135.666667,0.0,0.0,0.0,0.0,0.009259,0.003274,1.333333,12.666667,0.087963,0.011803,144
ministral3,3B,bf16,webshop,3.666667,4.818186,0.047217,11.505563,0.135021,0.003333,0.002357,0.666667,0.981667,0.006236,231765.528858,17148.40543,5.996773,0.165646,1052428.965025,1113.439391,93.521669,10820.108691,767.913943,5262.144825,396.401834,79280.366842,0.018333,0.006236,3.666667,0.495,0.026771,99.0,820663.436167,62221.794623,12571.105612,171.150843,137.726177,1.426148,33.255675,0.542692,0.0,0.0,0.0,98.333333,0.491667,0.026562,0.0,0.601214,0.017202,150.601988,2.271743,196.333333,0.0,0.486667,0.022485,97.333333,0.0,0.0,0.0,0.0,0.0,0.0,200
ministral3,3B,q4_k_m,alfworld,0.0,6.633028,0.0,13.990826,0.0,0.0,0.0,0.0,1.0,0.0,56541.568764,1943.418296,4.187005,0.238823,161064.392264,222.772327,5.437429,161064.392264,3931.26122,1477.654975,36.066617,3931.26122,0.0,0.0,0.0,0.990826,0.0,108.0,104522.8235,2104.240887,7895.049891,60.106212,79.390394,0.59797,9.93026,0.10962,101.0,0.926606,0.0,2.0,0.018349,0.0,0.0,1.0,0.0,148.071355,2.055382,109.0,0.0,0.009174,0.0,1.0,0.0,0.0,0.0,5.0,0.045872,0.0,109
ministral3,3B,q4_k_m,dbbench,7.333333,4.575503,0.053788,8.06978,0.072085,0.07,0.0,21.0,0.971111,0.001571,431301.059546,7157.446771,5.98869,0.070292,1524490.748379,1143.839254,20.666718,84693.930466,1028.868967,5081.635828,61.732138,18519.641405,0.028889,0.001571,8.666667,0.911111,0.001571,273.333333,1093189.688833,14367.84677,7897.454214,71.71021,98.778459,0.536335,18.752222,0.123812,0.0,0.0,0.0,252.333333,0.841111,0.001571,1.333333,1.0,0.0,305.972024,217.679198,291.333333,0.0,0.06,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,300
ministral3,3B,q4_k_m,os,2.333333,1.417044,0.002167,4.591528,0.076223,0.002315,0.003274,0.333333,0.976852,0.011803,85185.682928,27015.038247,4.098722,0.765687,298129.342594,1502.576484,530.202175,,,2070.342657,712.033799,102532.86699,0.023148,0.011803,3.333333,0.976852,0.011803,140.666667,212943.659667,75546.433114,6951.853986,1441.844361,82.247802,9.831094,11.105995,4.253668,0.0,0.0,0.0,99.333333,0.689815,0.014269,1.0,0.0,0.0,295.535783,207.536468,140.666667,0.0,0.0,0.0,0.0,0.002315,0.003274,0.333333,40.666667,0.282407,0.008661,144
ministral3,3B,q4_k_m,webshop,0.333333,4.747889,0.054017,11.405586,0.084575,0.001667,0.002357,0.333333,0.998333,0.002357,104257.983038,10876.079675,4.659894,0.157988,362980.151371,383.119897,36.667555,2288.315523,212.703642,1814.900757,163.280035,32656.006972,0.001667,0.002357,0.333333,0.205,0.004082,41.0,258722.168333,21784.201566,7891.879946,46.642689,89.382455,0.856993,13.906001,0.488964,0.0,0.0,0.0,40.666667,0.203333,0.002357,0.0,0.577636,0.010904,150.258565,2.173686,199.666667,0.0,0.793333,0.004714,158.666667,0.0,0.0,0.0,0.0,0.0,0.0,200
ministral3,3B,q8_0,alfworld,0.0,8.146789,0.0,17.100917,0.0,0.0,0.0,0.0,1.0,0.0,56955.158424,597.714474,4.669271,0.180515,193903.427257,218.359715,1.138879,64634.475752,337.108179,1778.930525,9.278207,1011.324538,0.0,0.0,0.0,0.972477,0.0,106.0,136948.268833,1042.544199,9306.098443,48.940368,87.378467,0.837858,15.411382,0.217788,99.0,0.908257,0.0,3.0,0.027523,0.0,0.0,1.0,0.0,148.168594,1.792242,109.0,0.0,0.027523,0.0,3.0,0.0,0.0,0.0,4.0,0.036697,0.0,109
ministral3,3B,q8_0,dbbench,2.333333,4.126968,0.064352,7.768084,0.084225,0.267778,0.001571,80.333333,0.987778,0.003143,295514.380731,8684.023551,5.41218,0.087544,1077202.253231,881.351803,43.268246,32642.492522,1223.674314,3590.674177,134.604175,40381.252371,0.012222,0.003143,3.666667,0.877778,0.003143,263.333333,781687.8725,32380.127294,9378.507045,107.413257,101.211644,0.300219,22.177279,0.481148,0.0,0.0,0.0,183.0,0.61,0.002722,1.333333,1.0,0.0,306.563229,220.042413,296.333333,0.0,0.11,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,300
ministral3,3B,q8_0,os,4.666667,1.85133,0.072776,4.647007,0.15311,0.006944,0.0,1.0,0.960648,0.022915,134620.024853,54410.358623,4.750381,0.785844,504616.853353,2028.936474,962.483224,,,3504.283704,1562.797866,225042.892749,0.039352,0.022915,5.666667,0.960648,0.022915,138.333333,369996.8285,170641.063798,8403.883486,1383.026918,92.258222,13.129891,18.356437,6.36576,0.0,0.0,0.0,110.666667,0.768519,0.011803,1.0,0.0,0.0,295.424057,207.526757,138.333333,0.0,0.0,0.0,0.0,0.032407,0.003274,4.666667,22.0,0.152778,0.015002,144
ministral3,3B,q8_0,webshop,1.333333,4.810424,0.026231,11.42118,0.042308,0.0,0.0,0.0,0.993333,0.002357,174586.510541,11720.991741,5.638152,0.216294,657467.904707,687.906727,43.975683,5818.300042,380.019012,3287.339524,214.710742,42942.148396,0.006667,0.002357,1.333333,0.428333,0.002357,85.666667,482881.394167,32057.308161,9311.433558,48.608335,104.298291,0.925691,22.858889,0.370482,0.0,0.0,0.0,85.666667,0.428333,0.002357,0.0,0.577242,0.008186,150.29714,2.498553,198.666667,0.0,0.565,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,200
ministral3,8B,bf16,alfworld,0.0,6.844037,0.0,14.091743,0.0,0.0,0.0,0.0,1.0,0.0,96132.049019,1067.209221,5.488977,0.22055,444808.373353,596.257873,2.322303,444808.373353,1732.437976,4080.810765,15.893926,1732.437976,0.0,0.0,0.0,0.990826,0.0,108.0,348676.324333,665.845334,22050.683367,55.015989,149.359339,0.355122,40.389447,0.119468,101.0,0.926606,0.0,2.0,0.018349,0.0,0.0,1.0,0.0,148.112163,1.718048,109.0,0.0,0.009174,0.0,1.0,0.0,0.0,0.0,5.0,0.045872,0.0,109
ministral3,8B,bf16,dbbench,0.0,4.378889,0.058394,8.543333,0.086965,0.353333,0.0,106.0,1.0,0.0,284116.517669,2094.109351,5.512543,0.089024,1495382.237836,1138.502434,18.234371,23005.880582,261.698415,4984.607459,56.701323,17010.396976,0.0,0.0,0.0,0.783333,0.0,235.0,1211265.720167,19080.150085,22133.700032,57.155748,161.779077,0.909714,46.421351,0.402916,0.0,0.0,0.0,123.0,0.41,0.0,0.0,1.0,0.0,306.676856,219.942319,300.0,0.0,0.216667,0.0,65.0,0.0,0.0,0.0,6.0,0.02,0.0,300
ministral3,8B,bf16,os,6.333333,3.05166,0.137074,6.801463,0.180512,0.393519,0.011803,56.666667,0.949074,0.031229,201615.180298,63944.382783,5.608591,0.207744,1033791.907131,2555.451887,1029.844203,70626.536596,30980.929271,7179.110466,2572.249519,370403.930737,0.050926,0.031229,7.333333,0.840278,0.015002,121.0,832176.726833,306485.767166,20860.05316,1867.960242,155.214733,13.102795,44.263852,5.693688,0.0,0.0,0.0,10.0,0.069444,0.0,1.0,1.0,0.0,296.52125,207.524175,136.666667,0.0,0.108796,0.016368,15.666667,0.087963,0.006547,12.666667,41.666667,0.289352,0.028539,144
ministral3,8B,bf16,webshop,0.0,4.256667,0.062494,9.573333,0.129508,0.033333,0.009428,6.666667,1.0,0.0,166599.510794,4957.474419,5.638554,0.197866,891035.092128,1046.395181,16.328233,5653.672311,224.919272,4455.175461,134.30342,26860.684031,0.0,0.0,0.0,0.211667,0.008498,42.333333,724435.581333,23878.189636,22086.954995,47.723846,163.095725,0.623872,45.935728,0.217742,0.0,0.0,0.0,28.0,0.14,0.008165,0.0,0.636262,0.005682,149.321539,2.885387,200.0,0.0,0.788333,0.008498,157.666667,0.0,0.0,0.0,7.666667,0.038333,0.006236,200
ministral3,8B,q4_k_m,alfworld,0.0,7.330275,0.0,14.825688,0.0,0.0,0.0,0.0,1.0,0.0,65260.452433,906.999668,5.160322,0.127579,254405.706767,318.40514,3.407819,84801.902256,907.615741,2333.99731,24.98025,2722.847224,0.0,0.0,0.0,0.972477,0.0,106.0,189145.254333,1816.489655,11536.323939,46.605309,110.318644,0.415868,21.46528,0.19083,96.0,0.880734,0.0,2.0,0.018349,0.0,0.0,1.0,0.0,147.930338,2.262898,109.0,0.0,0.027523,0.0,3.0,0.0,0.0,0.0,8.0,0.073394,0.0,109
ministral3,8B,q4_k_m,dbbench,0.0,4.253333,0.019052,8.353333,0.023254,0.373333,0.0,112.0,1.0,0.0,192766.20843,3210.428485,4.770138,0.107506,773425.77943,606.142257,3.261048,12488.636153,404.95825,2578.085931,11.114998,3334.499441,0.0,0.0,0.0,0.793333,0.007201,238.0,580659.571,6119.60739,11584.043988,47.448977,110.610395,0.842148,22.710616,0.054569,0.0,0.0,0.0,122.0,0.406667,0.007201,0.0,1.0,0.0,303.41007,216.4038,300.0,0.0,0.206667,0.007201,62.0,0.0,0.0,0.0,4.0,0.013333,0.0,300
ministral3,8B,q4_k_m,os,5.0,3.111118,0.197503,7.043259,0.394229,0.377315,0.018227,54.333333,0.958333,0.024715,165252.825256,55016.195104,5.210048,0.540924,698588.136923,1690.456423,751.550947,38876.245298,17707.417129,4851.306506,1919.414944,276395.751944,0.041667,0.024715,6.0,0.826389,0.015002,119.0,533335.311667,221537.885915,10534.353194,1562.446448,113.990303,13.292884,24.502383,5.48575,0.0,0.0,0.0,10.333333,0.071759,0.003274,1.0,1.0,0.0,296.163688,207.446485,138.0,0.0,0.131944,0.01701,19.0,0.081019,0.011803,11.666667,42.666667,0.296296,0.026796,144
