model,size,quant,domain,n_runs,wall_clock_s,throughput_tpm,mean_task_s,gpu_mem_peak_mib,gpu_mem_avg_mib,gpu_power_avg_w,total_energy_j
ministral3,8B,q8_0,alfworld,3,1818.3,3.5973333333333333,16.680000000000003,15009.033333333333,14903.766666666668,131.13333333333333,305593.8666666667
ministral3,8B,q8_0,dbbench,3,6178.133333333334,2.9150000000000005,20.593333333333334,15026.9,14962.766666666668,139.6,1093162.0
ministral3,8B,q8_0,os,3,4422.5,2.1573333333333333,32.32,16051.666666666666,13788.066666666666,136.76666666666668,787008.7000000001
ministral3,8B,q8_0,webshop,3,3470.7333333333336,3.4579999999999997,17.353333333333335,15006.466666666667,14940.166666666666,141.66666666666666,622472.5666666667
qwen3,4B,bf16,alfworld,3,15350.133333333333,0.426,140.82666666666668,13819.866666666669,13750.366666666667,254.66666666666666,4532034.166666667
qwen3,4B,bf16,dbbench,3,22615.63333333333,0.7956666666666666,75.47000000000001,17061.133333333335,13775.933333333334,247.86666666666667,6505632.033333334
qwen3,4B,bf16,os,3,18323.0,0.4626666666666666,130.01666666666668,13848.833333333334,13776.733333333332,254.83333333333334,5398662.233333333
qwen3,4B,bf16,webshop,3,20243.033333333336,0.5896666666666667,101.90333333333335,13805.133333333333,13741.266666666668,254.86666666666667,5968903.466666666
qwen3,4B,q4_k_m,alfworld,3,7565.966666666667,0.8646666666666666,69.41333333333334,8520.5,8452.6,246.13333333333333,2172114.6
qwen3,4B,q4_k_m,dbbench,3,12479.699999999999,1.4383333333333332,41.79,8573.266666666668,8484.0,240.03333333333333,3492646.3666666667
qwen3,4B,q4_k_m,os,3,9937.633333333333,0.8456666666666667,70.99666666666667,8575.5,8493.0,249.79999999999998,2889086.3333333335
qwen3,4B,q4_k_m,webshop,3,12604.300000000001,0.9376666666666665,64.61,8520.699999999999,8452.266666666666,255.0666666666667,3729004.766666667
qwen3,4B,q8_0,alfworld,3,9896.0,0.661,90.78666666666668,10219.433333333332,10154.166666666666,243.13333333333333,2813459.966666667
qwen3,4B,q8_0,dbbench,3,17127.899999999998,1.0503333333333333,57.16,10267.133333333333,10176.066666666666,236.63333333333333,4730440.966666666
qwen3,4B,q8_0,os,3,12442.033333333335,0.6886666666666666,87.62,10249.666666666666,10188.133333333333,241.29999999999998,3491790.6
qwen3,4B,q8_0,webshop,3,14229.199999999999,0.836,72.15333333333334,10214.366666666667,10149.0,245.4333333333333,4064693.4
qwen3,8B,bf16,alfworld,3,1409.6000000000001,4.639666666666667,12.933333333333332,20614.133333333335,20526.233333333334,146.86666666666667,261570.16666666666
qwen3,8B,bf16,dbbench,3,4046.633333333333,4.448333333333333,13.49,20607.0,20543.666666666668,148.4,740619.9
qwen3,8B,bf16,os,3,4432.833333333333,1.853,32.44,20643.166666666668,20583.433333333334,207.5,1087165.7
qwen3,8B,bf16,webshop,3,4640.766666666667,2.5856666666666666,23.206666666666667,20613.13333333333,20540.8,185.20000000000002,1035933.7666666666
qwen3,8B,q4_k_m,alfworld,3,1162.8999999999999,5.626,10.666666666666666,19223.333333333332,11458.466666666667,116.43333333333334,174736.43333333335
qwen3,8B,q4_k_m,dbbench,3,3276.9666666666667,5.481000000000001,10.950000000000001,10620.4,10558.699999999999,108.43333333333334,456641.8666666667
qwen3,8B,q4_k_m,os,3,3395.433333333333,2.4623333333333335,24.426666666666666,10678.300000000001,10599.6,213.16666666666666,847394.8666666667
qwen3,8B,q4_k_m,webshop,3,3016.5,3.9790000000000005,15.083333333333334,10633.733333333332,10559.833333333334,166.03333333333333,608133.5333333333
qwen3,8B,q8_0,alfworld,3,1275.8333333333333,5.127,11.706666666666665,13831.699999999999,13761.4,125.83333333333333,202141.6
qwen3,8B,q8_0,dbbench,3,3501.2999999999997,5.1433333333333335,11.673333333333332,13833.166666666666,13781.699999999999,124.0,548044.7000000001
qwen3,8B,q8_0,os,3,3788.1666666666665,2.204,27.25333333333333,16125.066666666666,13802.933333333334,207.96666666666667,926351.3333333334
qwen3,8B,q8_0,webshop,3,3605.8333333333335,3.329,18.03,17101.033333333336,13972.9,165.20000000000002,726788.0666666668
