Configuration,Domain,Success (%),Energy/Task (kJ),Wall-Clock/Task (s),Throughput (tasks/min),Peak GPU Mem (MiB)
ministral3-3B-Q8_0,WEBSHOP,56.5,3.29,23.3,2.58,9358
ministral3-8B-BF16,ALFWORLD,0.9,4.08,21.4,2.81,22189
ministral3-8B-BF16,ALL,28.1,5.17,26.8,2.43,21876
ministral3-8B-BF16,DBBENCH,21.7,4.98,25.0,2.4,22216
ministral3-8B-BF16,OS,10.9,7.18,38.7,1.81,20933
ministral3-8B-BF16,WEBSHOP,78.8,4.46,22.2,2.7,22164
ministral3-8B-Q4_K_M,ALFWORLD,2.8,2.33,15.7,3.82,11602
ministral3-8B-Q4_K_M,ALL,29.6,3.02,20.3,3.36,12991
ministral3-8B-Q4_K_M,DBBENCH,20.7,2.58,17.5,3.43,15150
ministral3-8B-Q4_K_M,OS,13.2,4.85,32.9,2.2,13282
ministral3-8B-Q4_K_M,WEBSHOP,81.8,2.3,15.0,4.0,11931
ministral3-8B-Q8_0,ALFWORLD,1.8,2.8,16.7,3.6,15009
ministral3-8B-Q8_0,ALL,29.2,3.76,909.8,2.91,15274
ministral3-8B-Q8_0,DBBENCH,23.3,3.64,20.6,2.92,15027
ministral3-8B-Q8_0,OS,12.7,5.47,3584.6,1.67,16052
ministral3-8B-Q8_0,WEBSHOP,78.8,3.11,17.4,3.46,15006
qwen3-4B-BF16,ALFWORLD,15.0,41.58,140.8,0.43,13820
qwen3-4B-BF16,ALL,43.3,32.65,112.1,0.57,14634
qwen3-4B-BF16,DBBENCH,46.8,21.69,75.5,0.8,17061
qwen3-4B-BF16,OS,36.1,37.49,130.0,0.46,13849
qwen3-4B-BF16,WEBSHOP,75.5,29.84,101.9,0.59,13805
qwen3-4B-Q4_K_M,ALFWORLD,17.4,19.93,69.4,0.86,8520
qwen3-4B-Q4_K_M,ALL,42.7,17.57,61.7,1.02,8547
qwen3-4B-Q4_K_M,DBBENCH,46.4,11.64,41.8,1.44,8573
qwen3-4B-Q4_K_M,OS,35.9,20.06,71.0,0.85,8576
qwen3-4B-Q4_K_M,WEBSHOP,71.0,18.65,64.6,0.94,8521
qwen3-4B-Q8_0,ALFWORLD,13.8,25.81,90.8,0.66,10219
qwen3-4B-Q8_0,ALL,43.5,21.54,76.9,0.81,10238
qwen3-4B-Q8_0,DBBENCH,47.1,15.77,57.2,1.05,10267
qwen3-4B-Q8_0,OS,37.3,24.25,87.6,0.69,10250
qwen3-4B-Q8_0,WEBSHOP,75.8,20.32,72.2,0.84,10214
qwen3-8B-BF16,ALFWORLD,2.8,2.4,12.9,4.64,20614
qwen3-8B-BF16,ALL,21.9,4.4,20.5,3.38,20619
qwen3-8B-BF16,DBBENCH,31.1,2.47,13.5,4.45,20607
qwen3-8B-BF16,OS,28.9,7.55,32.4,1.85,20643
qwen3-8B-BF16,WEBSHOP,24.8,5.18,23.2,2.59,20613
qwen3-8B-Q4_K_M,ALFWORLD,0.9,1.6,10.7,5.63,19223
qwen3-8B-Q4_K_M,ALL,18.8,3.01,15.3,4.39,12789
qwen3-8B-Q4_K_M,DBBENCH,30.1,1.52,11.0,5.48,10620
qwen3-8B-Q4_K_M,OS,29.4,5.88,24.4,2.46,10678
qwen3-8B-Q4_K_M,WEBSHOP,14.8,3.04,15.1,3.98,10634
qwen3-8B-Q8_0,ALFWORLD,2.8,1.85,11.7,5.13,13832
qwen3-8B-Q8_0,ALL,20.9,3.44,17.2,3.95,15223
qwen3-8B-Q8_0,DBBENCH,30.4,1.83,11.7,5.14,13833
qwen3-8B-Q8_0,OS,28.9,6.43,27.3,2.2,16125
qwen3-8B-Q8_0,WEBSHOP,21.7,3.63,18.0,3.33,17101
