model,size,quant,domain,success_rate_mean,energy_per_task,energy_per_success,success_per_energy,tool_calls_per_success
Qwen3,4B,8-bit,alfworld,0.13761467889908258,25800.741894550425,187485.39110039975,5.333748907745526e-06,0.0
Qwen3,4B,8-bit,dbbench,0.47,15397.229357203272,32760.062462134625,3.052497232433056e-05,0.0
Qwen3,4B,8-bit,os,0.3541666666666667,25534.091865763865,72096.25938568621,1.387034512637333e-05,0.0
Qwen3,4B,8-bit,webshop,0.78,19124.60761102502,24518.727706442336,4.0785150517302266e-05,0.0
Qwen3,8B,bf16,alfworld,0.027522935779816515,2462.4195213486223,89467.90927566662,1.1177192002093413e-05,0.0
Qwen3,8B,bf16,dbbench,0.30666666666666664,2477.2220745466616,8077.898069173896,0.00012379458015397652,0.0
Qwen3,8B,bf16,os,0.2847222222222222,8024.740482611116,28184.454377951235,3.548055203021075e-05,0.0
Qwen3,8B,bf16,webshop,0.245,5205.701980614998,21247.763186183667,4.706377754860563e-05,0.0
Qwen3,8B,4-bit,alfworld,0.009174311926605505,1700.4288485504574,185346.74449199985,5.395293037063099e-06,0.0
Qwen3,8B,4-bit,dbbench,0.2966666666666667,1513.0319538899985,5100.107709741568,0.00019607429037036395,0.0
Qwen3,8B,4-bit,os,0.3055555555555556,5652.54429923611,18499.23588840909,5.405628675866345e-05,0.0
Qwen3,8B,4-bit,webshop,0.15,3100.1027512449964,20667.35167496664,4.8385493009791444e-05,0.0
Qwen3,8B,8-bit,alfworld,0.027522935779816515,1843.4870055688066,66980.02786899997,1.4929823587947848e-05,0.0
Qwen3,8B,8-bit,dbbench,0.30333333333333334,1795.25570579,5918.425403703297,0.00016896385977497946,0.0
Qwen3,8B,8-bit,os,0.2986111111111111,6665.349023937504,22321.16882434885,4.4800521328845414e-05,0.0
Qwen3,8B,8-bit,webshop,0.175,3735.3947968650027,21345.113124942873,4.684913095313831e-05,0.0
