model,size,quant,domain,energy_per_task_mean,energy_per_task_std,energy_per_success_mean,energy_per_success_std,energy_per_action_mean,energy_per_action_std,gpu_mem_mean,gpu_mem_std,gpu_energy_mean,gpu_energy_std,cpu_energy_mean,cpu_energy_std,energy_mean,energy_std
deepseek-r1-qwen,7B,4-bit,webshop,12243.41016,473.933394,1224341.015954,47393.339395,3440.092162,222.084732,7637.192648,10.92805,1871694.3255,72563.141868,576987.706408,22511.916088,2448682.031908,94786.678791
deepseek-r1-qwen,7B,8-bit,alfworld,3857.064395,23.827174,,,3310.393851,20.450095,10765.25028,189.333972,326278.713833,262.091702,94141.305245,2344.291461,420420.019078,2597.162008
deepseek-r1-qwen,7B,8-bit,dbbench,2874.809766,27.469184,23956.748047,228.909866,1337.912064,19.578974,10789.846812,129.332189,667202.1795,2792.922141,195240.750188,5448.285021,862442.929688,8240.755183
deepseek-r1-qwen,7B,8-bit,os,8661.614066,327.414741,,,3856.427879,199.360084,10608.790097,37.914019,982063.947667,36263.818868,265208.477838,11390.927812,1247272.425505,47147.72266
deepseek-r1-qwen,7B,8-bit,webshop,17867.708259,632.736489,1191180.550583,42182.432633,5613.622787,312.498562,10649.886172,40.514162,2860842.153833,99117.488997,712699.497916,27498.797857,3573541.651749,126547.297898
ministral3,3B,16-bit,alfworld,2082.152402,23.468285,56738.652967,639.51077,293.602344,3.309241,12789.334869,574.343438,170564.394833,1888.598658,56390.217033,692.714616,226954.611866,2558.043078
ministral3,3B,16-bit,dbbench,5738.333208,157.931726,51654.470084,1583.31671,1491.178105,48.75848,12481.859737,60.992022,1345557.096667,41183.173998,375942.865727,6396.773057,1721499.962394,47379.517662
ministral3,3B,16-bit,os,4943.498686,2400.841201,,,3223.379267,1653.18476,11742.738457,1143.513019,552437.469833,269275.267284,159426.34089,76511.241265,711863.810723,345721.132909
ministral3,3B,16-bit,webshop,5262.144825,396.401834,10820.108691,767.913943,1113.439391,93.521669,12571.105612,171.150843,820663.436167,62221.794623,231765.528858,17148.40543,1052428.965025,79280.366842
ministral3,3B,4-bit,alfworld,1477.654975,36.066617,161064.392264,3931.26122,222.772327,5.437429,7895.049891,60.106212,104522.8235,2104.240887,56541.568764,1943.418296,161064.392264,3931.26122
ministral3,3B,4-bit,dbbench,5081.635828,61.732138,84693.930466,1028.868967,1143.839254,20.666718,7897.454214,71.71021,1093189.688833,14367.84677,431301.059546,7157.446771,1524490.748379,18519.641405
ministral3,3B,4-bit,os,2070.342657,712.033799,,,1502.576484,530.202175,6951.853986,1441.844361,212943.659667,75546.433114,85185.682928,27015.038247,298129.342594,102532.86699
ministral3,3B,4-bit,webshop,1814.900757,163.280035,2288.315523,212.703642,383.119897,36.667555,7891.879946,46.642689,258722.168333,21784.201566,104257.983038,10876.079675,362980.151371,32656.006972
ministral3,3B,8-bit,alfworld,1778.930525,9.278207,64634.475752,337.108179,218.359715,1.138879,9306.098443,48.940368,136948.268833,1042.544199,56955.158424,597.714474,193903.427257,1011.324538
ministral3,3B,8-bit,dbbench,3590.674177,134.604175,32642.492522,1223.674314,881.351803,43.268246,9378.507045,107.413257,781687.8725,32380.127294,295514.380731,8684.023551,1077202.253231,40381.252371
ministral3,3B,8-bit,os,3504.283704,1562.797866,,,2028.936474,962.483224,8403.883486,1383.026918,369996.8285,170641.063798,134620.024853,54410.358623,504616.853353,225042.892749
ministral3,3B,8-bit,webshop,3287.339524,214.710742,5818.300042,380.019012,687.906727,43.975683,9311.433558,48.608335,482881.394167,32057.308161,174586.510541,11720.991741,657467.904707,42942.148396
ministral3,8B,16-bit,alfworld,4080.810765,15.893926,444808.373353,1732.437976,596.257873,2.322303,22050.683367,55.015989,348676.324333,665.845334,96132.049019,1067.209221,444808.373353,1732.437976
ministral3,8B,16-bit,dbbench,4984.607459,56.701323,23005.880582,261.698415,1138.502434,18.234371,22133.700032,57.155748,1211265.720167,19080.150085,284116.517669,2094.109351,1495382.237836,17010.396976
ministral3,8B,16-bit,os,7179.110466,2572.249519,70626.536596,30980.929271,2555.451887,1029.844203,20860.05316,1867.960242,832176.726833,306485.767166,201615.180298,63944.382783,1033791.907131,370403.930737
ministral3,8B,16-bit,webshop,4455.175461,134.30342,5653.672311,224.919272,1046.395181,16.328233,22086.954995,47.723846,724435.581333,23878.189636,166599.510794,4957.474419,891035.092128,26860.684031
ministral3,8B,4-bit,alfworld,2333.99731,24.98025,84801.902256,907.615741,318.40514,3.407819,11536.323939,46.605309,189145.254333,1816.489655,65260.452433,906.999668,254405.706767,2722.847224
ministral3,8B,4-bit,dbbench,2578.085931,11.114998,12488.636153,404.95825,606.142257,3.261048,11584.043988,47.448977,580659.571,6119.60739,192766.20843,3210.428485,773425.77943,3334.499441
ministral3,8B,4-bit,os,4851.306506,1919.414944,38876.245298,17707.417129,1690.456423,751.550947,10534.353194,1562.446448,533335.311667,221537.885915,165252.825256,55016.195104,698588.136923,276395.751944
ministral3,8B,4-bit,webshop,2303.435369,101.907923,2818.48466,183.746987,584.465543,16.887471,11546.824934,44.665614,358498.650167,19415.743091,102188.423571,3959.869575,460687.073738,20381.584608
ministral3,8B,8-bit,alfworld,2803.613649,41.431572,152796.943872,2258.02065,420.349227,6.211886,14903.782961,49.590001,239174.011667,1097.781862,66419.876077,5601.157418,305593.887743,4516.041299
ministral3,8B,8-bit,dbbench,3643.873312,59.411745,15644.38415,795.005055,831.679197,3.902267,14962.77584,58.768032,862163.717167,15865.719195,230998.276483,4151.866546,1093161.993649,17823.523462
ministral3,8B,8-bit,os,5465.337985,2029.548709,45067.475146,19594.238947,1879.292268,770.936584,13788.0541,1712.616059,623374.843167,234999.221163,163633.826685,57257.585754,787008.669852,292255.014106
ministral3,8B,8-bit,webshop,3112.362853,88.779039,3947.783971,98.232571,775.362669,27.156231,14940.167766,60.013026,491939.766333,11245.475393,130532.804332,8121.008936,622472.570666,17755.807877
qwen3,4B,16-bit,alfworld,41578.295279,76.482616,277707.971247,8202.920529,2799.855595,4.635896,13750.367315,51.57564,3907149.0525,9586.772859,624885.132887,2114.867308,4532034.185387,8336.605138
qwen3,4B,16-bit,dbbench,21685.440122,599.807698,46362.103504,1399.956894,8454.357914,327.610293,13775.911164,32.561492,5601769.927,153122.828638,903862.109531,26884.801679,6505632.036531,179942.309436
qwen3,4B,16-bit,os,37490.709877,1631.154703,103852.322827,4911.715232,12782.577077,724.935899,13776.701365,63.384737,4666277.482,202076.112951,732384.740296,32909.388364,5398662.222296,234886.277196
qwen3,4B,16-bit,webshop,29844.517377,1192.180586,39595.194351,2500.955694,5124.55573,118.099942,13741.270562,52.081754,5159317.171,212430.029287,809586.304347,26352.633588,5968903.475347,238436.117157
qwen3,4B,4-bit,alfworld,19927.65679,48.034951,114321.820534,275.56893,1310.081176,3.157907,8452.553637,54.052774,1862188.83,3631.607545,309925.760148,2212.310034,2172114.590148,5235.809676
qwen3,4B,4-bit,dbbench,11642.154582,484.248342,25070.643131,1124.725235,4457.605148,202.206465,8484.003621,55.622969,2995341.215667,127267.770408,497305.158862,18176.580204,3492646.374529,145274.502519
qwen3,4B,4-bit,os,20063.099558,539.214567,55989.218001,2311.595566,6360.571409,301.767025,8492.990856,63.116252,2481692.623667,65553.779331,407393.71267,12307.388581,2889086.336337,77646.897704
qwen3,4B,4-bit,webshop,18645.023898,1948.475341,26289.893261,3017.841386,2994.53848,322.387957,8452.249271,49.800146,3218909.757833,336404.560659,510095.021711,53545.80667,3729004.779544,389695.068295
qwen3,4B,8-bit,alfworld,25811.559147,21.603721,187563.996466,156.98704,1691.797924,1.415999,10154.162974,45.954508,2405983.223,3451.01556,407476.723984,1580.835924,2813459.946984,2354.805606
qwen3,4B,8-bit,dbbench,15768.136467,262.285482,33469.563123,512.24653,5433.251952,95.017055,10176.086253,56.324802,4051551.077333,67631.997659,678889.862842,11586.673367,4730440.940175,78685.644624
qwen3,4B,8-bit,os,24248.545851,1858.278475,65415.603688,7704.633205,7968.842356,642.815851,10188.14624,49.832124,3000535.830333,230530.810096,491254.772171,37121.945093,3491790.602504,267592.100348
qwen3,4B,8-bit,webshop,20323.466998,1516.507075,26828.855736,2290.605921,3478.351737,245.228947,10149.006747,51.591474,3493728.483333,263403.876585,570964.916283,39993.42663,4064693.399617,303301.415054
qwen3,8B,16-bit,alfworld,2399.726466,46.435103,87190.061591,1687.142081,463.776923,8.97416,20526.233241,56.915125,207312.414167,318.79479,54257.770605,5375.379121,261570.184772,5061.426244
qwen3,8B,16-bit,dbbench,2468.733076,38.693876,7936.225408,157.856322,909.871719,15.223376,20543.692463,51.823368,601098.609,5132.042873,139521.313938,6950.562358,740619.922938,11608.16274
qwen3,8B,16-bit,os,7549.761966,335.943214,26108.584315,1468.084203,3254.827927,197.57473,20583.420358,46.947883,920481.683167,42869.409981,166684.039941,5510.361589,1087165.723108,48375.822873
qwen3,8B,16-bit,webshop,5179.66882,33.939257,20886.137681,830.625756,1307.363158,27.519445,20540.771452,55.706866,859693.384833,10387.403004,176240.379133,5227.880124,1035933.763967,6787.851356
qwen3,8B,4-bit,alfworld,1603.086682,68.848148,174736.448368,7504.448115,285.517072,12.26217,11458.474184,872.38168,135485.5185,1305.683481,39250.929868,6593.480737,174736.448368,7504.448115
qwen3,8B,4-bit,dbbench,1522.139503,39.096892,5056.951794,174.9914,628.488086,18.890236,10558.695557,54.095755,355385.581333,5661.552652,101256.269496,7420.568107,456641.850829,11729.067569
qwen3,8B,4-bit,os,5884.686594,334.993239,20148.262037,2353.945546,2396.531169,144.838866,10599.592816,66.854308,724953.014667,45915.541765,122441.85493,2352.827292,847394.869596,48239.026465
qwen3,8B,4-bit,webshop,3040.667671,43.200487,20998.703854,3297.951004,936.854476,21.08532,10559.829339,52.743855,501543.6665,8076.107936,106589.867617,6855.701823,608133.534117,8640.097422
qwen3,8B,8-bit,alfworld,1854.510232,17.249523,67380.538443,626.732682,321.881553,2.993946,13761.385589,67.444538,161199.591667,1321.43926,40942.023662,608.591526,202141.615329,1880.198045
qwen3,8B,8-bit,dbbench,1826.815708,25.345268,6000.636112,88.21412,662.70901,9.871014,13781.706353,49.106818,434668.626667,5767.762334,113376.085706,1898.027933,548044.712373,7603.580459
qwen3,8B,8-bit,os,6432.995099,191.878015,22230.988172,353.889855,2646.637,76.041042,13802.968453,59.015173,788658.526833,25606.245691,137692.767422,3026.100565,926351.294255,27630.434212
qwen3,8B,8-bit,webshop,3633.940411,85.901599,17240.122152,3108.622341,922.734858,22.792174,13972.9301,261.801648,596272.561333,8860.06701,130515.520772,9063.313177,726788.082105,17180.319887
